No.,Label (manual annotation)
0,0
1,1
2,1
3,0
4,2
5,2
6,0
7,0
8,1
9,0
10,2
11,0
12,0
13,0
14,1
15,2
16,0
17,2
18,1
19,2
20,0
21,1
22,1
23,2
24,2
25,0
26,0
27,0
28,0
29,0
30,2
31,2
32,0
33,0
34,0
35,1
36,0
37,2
38,1
39,1
40,0
41,2
42,1
43,0
44,0
45,1
46,0
47,2
48,1
49,0
50,0
51,0
52,0
53,2
54,2
55,1
56,0
57,0
58,2
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,2
67,0
68,2
69,2
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,0
82,2
83,0
84,0
85,0
86,2
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,2
95,2
96,1
97,1
98,0
99,1
